	Jaak Joala	Urmas Alender
Svetlõi	0	1
krai	0	1
Kareva	0	1
Sorvannõje	0	1
tsvetõ	0	1
Kinogorod	0	1
Po	0	1
tu	0	1
storonu	0	1
vod	0	1
Lebedinaja	0	1
pesnja	0	1
Vladislav	0	1
34	0	1
58	0	1
72	0	1
Linnateater	0	1
Noorsooteatris	0	1
Protsess	0	1
Komissarov	0	2
viis	0	1
tiit	0	1
mängima	0	2
bändi	0	1
nimeks	0	1
samuti	0	1
Progressiivne	1	1
Televisiooni	1	2
laulnud	0	1
Hingelind	0	1
Vanemõde	0	1
II	0	1
vanemad	0	1
Artur	0	1
Siivi	0	1
kaitseingel	0	2
juulil	0	1
neil	0	1
Kaskel	0	1
helje	0	2
kolisid	0	2
eelmisest	0	1
abielust	0	1
jäigi	0	1
lahutamata	0	1
usun	0	1
estonia	0	1
eluaasta	0	2
minutid	0	1
poole	0	1
noorema	0	1
neiu	0	1
tormi	0	1
iile	0	1
trotsiv	0	1
Truu	0	1
Martin	0	1
Sinijärv	0	1
lõputa	0	1
lookleval	0	1
teel	0	1
Kirjastus	0	1
esileht	0	2
näoga	0	1
Janus	0	1
Nailonkuu	0	1
rokkarist	0	2
teisalt	0	1
tundlik	0	1
armuja	0	1
kirjandus	1	1
tulemas	0	2
olin	0	1
minemas	0	1
keegi	1	1
vaatas	0	1
pealt	0	1
Sina	0	1
vilistlased	0	2
kliimaminister	0	1
lapsed	0	1
kirjastaja	0	1
õppis	0	1
õpib	0	1
produktsioonifirma	0	1
projektijuht	0	1
osakonna	0	1
Riigimetsa	0	1
Majandamise	0	1
nõukogu	0	1
tegevus	0	1
koosseisus	0	1
kultuurikomisjon	0	1
Keskkonnakomisjon	0	2
esimees	0	2
fraktsiooni	0	1
vvk	0	1
detailed	0	1
voting	0	1
andmed	0	1
tegelenud	0	1
koolitajana	0	1
ALENDER	0	1
Kuidas	0	3
yokoalender	0	1
Budismi	0	1
Lennon	0	2
järgi	0	1
txt	0	1
txIN	0	1
Minu	1	1
Priit	0	2
majas	0	1
ebatavalise	0	2
Frank	0	1
veebilehel	0	1
poliitikud	0	1
When	0	1
Rudolf	0	1
Rimmel	0	1
woman	0	1
To	1	1
much	0	2
longer	0	1
sind	0	1
Ülle	0	1
Tõnumaa	0	1
Niinemägi	0	1
lit	0	1
Ööpäev	0	1
Night	0	1
day	0	2
sadness	0	1
Tuli	1	1
Kevade	0	1
Kevad	0	1
Spring	0	2
Marje	0	2
Teslon	0	1
inglise	0	1
span	0	1
raske	0	1
Old	0	1
clown	0	1
Kadunud	1	1
Lost	0	1
son	0	1
Valgma	0	1
Korralik	0	1
pere	0	1
decent	0	1
family	0	1
sügavast	0	1
düünist	0	1
about	0	1
deep	0	1
dune	0	1
saar	1	1
Own	0	1
Gustav	0	1
Suits	0	1
rõõm	0	1
mure	0	1
Big	0	1
joy	0	1
concern	0	1
Meelelahutus	1	1
Entertainment	0	1
Juuspeened	0	1
keeled	0	1
Hair	0	1
thin	0	1
strings	0	1
Albert	0	1
Imelapse	0	1
lapsepõlv	0	1
childhood	0	1
wonder	0	1
kid	0	1
long	0	1
swans	0	1
Eespere	0	1
Karp	0	1
opleht	0	1
sabast	0	1
klahvpille	0	1
tekkis	0	1
enda	0	1
uus	0	1
viiul	0	1
tromboon	0	1
Rannapi	0	1
vastavalt	0	1
Tsepeliini	0	1
triumf	0	1
Esimesed	1	1
Nii	1	1
vaikseks	0	2
ilmus	0	1
Rujale	0	1
Tomp	0	1
aula	0	1
Kaljuste	0	1
kontserdi	1	1
Nürnbergi	0	1
Andrus	0	1
Vaht	0	1
proge	0	1
Tuntud	1	1
Tango	0	1
home	0	1
uninet	0	1
mel	0	1
estprog	0	1
eeskuju	0	1
publikule	0	1
Ivan	0	1
Patte	0	1
Pet	0	1
nikov	0	1
Valgusemaastikud	0	1
kell	0	1
32	0	1
35	0	1
36	0	1
37	0	1
47	0	1
54	0	1
56	0	1
71	0	1
101	0	1
104	0	1
128	0	1
280	0	1
997	0	1
1300	0	1
1633	0	1
1739	0	1
1993	0	1
2027	0	1
2051	0	1
2715	0	1
3423	0	1
4025	0	1
4819	0	1
4938	0	1
8275	0	1
26417	0	1
45666	0	1
119804	0	1
231103	0	1
252868	0	1
310307	0	1
398367	0	1
752220	0	1
964802	0	1
7068567	0	1
7081911	0	1
51285531	0	1
67397378	0	1
72445381	0	1
80187140	0	1
80205194	0	1
1609483153	0	1
tähelepanuväärsed_pillid	0	1
Läänemeri	0	1
Utö	0	1
laulukirjutaja	0	1
Haridus	0	1
näitlejatöö	0	1
Sikupilli	0	1
keskkooli	0	1
lavakunstikool	0	1
Konservatooriumi	1	1
lavakunstikateedri	0	1
lennus	0	1
Noorsooteater	0	1
Nukuteatri	0	1
vabakutselisena	0	1
etbl	0	1
teatriliit	0	1
alender_urmas2	0	2
Teatriliit	0	1
Tuntumad	1	2
lavastused	0	1
tolleaegses	0	1
Abby	0	1
Mann	0	1
etendusesse	0	1
kaasatud	0	1
Johnny	0	1
kogu	0	1
keelati	0	1
Nukuteatris	0	1
proovis	0	1
luulekavadega	0	1
Vaikusse	0	1
valgusse	0	1
puhtusse	0	1
luuletajate	0	1
millele	0	1
teatrikriitika	0	1
soodne	0	1
Muusikutee	0	1
Põhikooli	0	1
lõpuaastatel	0	1
sõbra	0	1
klassivenna	0	1
kitarri	0	1
tegema	0	1
Neid	1	1
kutsuti	0	1
ülekoolilistele	0	1
üritustele	0	1
mängisid	0	1
teistes	0	1
Seejärel	1	1
eestvedamisel	0	2
heavy	0	1
metal	0	1
viljelenud	0	1
algkoosseisus	0	1
Isikupärase	0	1
solistiks	0	1
laialiminekuni	0	1
olles	1	1
ühtlasi	0	1
tegevusajal	0	1
ainus	0	1
püsiliige	0	1
ühte	0	1
omapärasemat	0	1
avangardsemat	0	1
rockbändi	0	1
legendaarse	0	1
punkbändi	0	1
asutajaliige	0	1
mängimist	0	1
septembris	0	1
meeskondade	0	1
skandaalselt	0	1
lõppenud	0	1
jalgpallimat	0	1
heliplaate	0	1
kassette	0	1
Üle	1	1
müüri	0	2
Pop	1	1
peamiselt	0	2
omaenda	0	1
meloodiaga	0	1
tekstidele	0	1
kirjutatud	0	1
säilinud	0	1
haruldane	0	1
Stockholmis	0	1
tehtud	0	1
salvestis	1	1
Flying	0	1
Away	0	1
albumis	0	1
Muusikavooluses	0	1
Ansamblid	1	1
Kaseke	0	2
albumit	0	1
Ummi	0	1
Angela	0	1
Õde	0	1
temast	0	2
noorem	0	1
ode	0	1
siivi	0	1
õde	0	2
Liiviga	0	2
Ion	0	1
liivi	0	1
nagin	0	2
labi	0	1
jalle	0	1
moni	0	1
korvalsuhe	0	1
Liivi	0	1
mõni	0	2
kõrvalsuhe	0	1
abiellusid	0	1
nostalgia	0	1
kaskeli	0	1
soit	0	2
ameerika	0	1
magedel	0	2
Kaskeli	0	1
sõit	0	2
Ameerika	0	1
mägedel	0	2
kaskel	0	1
tostetakse	0	2
ules	0	1
tõstetakse	0	1
üles	0	1
Augustis	0	1
kihlus	0	1
Susanne	0	1
Annely	0	1
Piiperiga	0	1
hukust	0	1
hukkus	0	1
ööl	1	1
katastroof	0	1
Liia	0	1
Sakkos	0	1
teinud	0	1
Alenderist	0	1
dokumentaalfilm	0	1
nailonkuu	0	1
luuletused	0	2
järelsõna	0	1
Jürgen	0	1
Rooste	0	1
9789949425136	0	1
Ajakirjade	0	1
sisaldab	0	1
bibliograafiat	0	1
9789949454907	0	1
biography	0	1
TRUE	0	1
elulugu	1	1
846c19e8	0	2
ae15	0	1
a7d8e6e6d661	0	1
mitme	0	1
beritkontsert	0	1
wwx	0	1
koostamisest	0	1
arvamus	0	1
Rando	0	1
Tooming	0	1
uhelt	0	1
loomamees	0	1
orn	0	1
ühelt	0	1
löömamees	0	1
õrn	0	1
Mari	0	1
Peegel	0	1
Kas	0	1
täitsid	0	1
seks	0	1
alkohol	0	1
Kanguri	0	1
arvustus	0	1
Päevaleht	0	1
c7	0	1
sina	0	1
korval	0	2
kõrval	0	1
katastroofis	0	1
hukkunud	0	1
ametiisik	0	1
ametiajaalgus	0	1
ametiajalõpp	0	1
eelmine	0	1
Kristen	0	1
Michal	0	1
järgmine	0	1
amet2	0	1
ametiajaalgus2	0	1
ametiajalõpp2	0	1
eelmine2	0	1
järgmine2	0	1
amet3	0	1
ametiajaalgus3	0	1
ametiajalõpp3	0	1
eelmine3	0	1
järgmine3	0	1
amet4	0	1
ametiajaalgus4	0	1
ametiajalõpp4	0	1
eelmine4	0	1
järgmine4	0	1
amet5	0	1
ametiajaalgus5	0	1
ametiajalõpp5	0	1
eelmine5	0	1
järgmine5	0	1
amet6	0	1
ametiajaalgus6	0	1
ametiajalõpp6	0	1
eelmine6	0	1
järgmine6	0	1
amet7	0	1
ametiajaalgus7	0	1
ametiajalõpp7	0	1
eelmine7	0	1
järgmine7	0	1
amet8	0	1
ametiajaalgus8	0	1
ametiajalõpp8	0	1
eelmine8	0	1
järgmine8	0	1
rahvus	0	1
poega	0	1
tütart	0	1
sugulased	0	1
elukoht	0	1
alma_mater	0	1
elukutse	0	1
Arhitekt	1	1
autasud	0	2
allkiri	0	1
RK	0	1
juulist	0	1
koolitaja	0	1
astus	0	1
liikmeks	0	1
teatas	0	1
ühinemisest	0	1
Reformierakonnaga	0	1
keskkool	1	1
Stockholmi	0	2
Kool	0	1
Södra	0	1
Latini	0	1
linnaplaneerimise	0	1
osakonnas	0	1
arhitektuurimagistrina	0	1
edasi	0	1
doktorantuuris	0	1
uurides	0	1
arhitektide	0	1
alternatiivseid	0	1
identiteete	0	1
Kultorg	0	1
ZiZi	0	1
YoYo	0	1
Urbanmark	0	1
wpcms	0	1
101_biograafiat	0	1
2021_veebr	0	1
lühielulugu	0	1
Kultuuriväärtuste	0	1
Amet	1	1
muinsuskaitse	0	2
miljööalade	0	1
peaspetsialistina	0	1
disaininõunik	0	1
AS	1	1
Riigi	0	3
Kinnisvara	0	1
Rahvusraamatukogu	0	1
Keskus	0	1
Keskuse	0	1
Koostööfondi	0	1
Poliitiline	0	1
Kultuurikomisjon	0	1
aprillist	0	2
liikmena	0	1
linnaosa	0	1
halduskogu	0	1
piirkonna	0	1
nimekirjas	0	1
kandidaadi	0	1
otsing	0	1
otsi_ajaloost	0	1
20alender	0	1
kultuurikomisjoni	0	1
keskkonnakomisjoni	0	1
valimisringkond	0	1
haldusüksus	0	2
ringkonnamandaadiga	0	1
rk2023	0	1
ep2014	0	1
mandates	0	1
ep2024	0	1
valimiste	0	1
detailne	0	1
hääletamistulemus	0	1
Valimised	0	1
alde	0	2
Muu	1	2
ürituste	0	2
loominguliste	0	1
projektide	0	1
korraldamisega	0	1
projektijuhi	0	1
pressiesindajana	0	1
hoolitsenud	0	1
loomingulise	0	1
pärandi	0	1
avaldanud	0	1
plaad	0	1
DVD	0	1
biograafilise	0	1
luulekogud	0	1
sina_mina	0	1
korraldanud	0	1
juubelikontserdid	0	1
Olnud	1	1
teiste	0	2
autoritest	0	1
koostaja	1	1
kirjastanud	0	2
Jan	0	1
Gehl	0	1
Linnad	0	1
inimestele	0	1
uurida	0	1
avalikus	0	1
ruumis	0	1
Sim	0	1
Pehme	0	1
Linn	1	1
Gaia	0	2
Vince	0	1
Nomaadide	0	1
sajand	0	1
raamatud	0	1
asutatud	0	1
Instituut	0	1
Instituudi	0	1
budismi	0	1
jooga	0	2
mindfulnessi	0	1
isikliku	0	1
arengu	0	1
teemadega	0	1
viib	0	1
koolitusi	0	1
läbis	0	1
kõrgemad	0	1
riigikaitsekursused	0	1
tegutseb	0	1
naispoliitikute	0	1
võimestamisprogrammi	0	1
Alliance	0	1
Her	0	1
John	0	1
naise	1	1
Ono	0	1
kuna	1	1
austas	0	2
Lennonit	0	1
Sõnumid	0	1
DIGAR	0	1
eestisonumid19950118	0	2
7CtxTI	0	1
7CtxAU	0	2
7CtxTA	0	2
isaga	0	2
kaastegev	0	1
laulus	0	1
lapsepõlve	0	1
kangelane	0	1
kaver	0	1
Soome	1	1
Miljoonasade	0	1
Lapsuuden	0	1
sankarille	0	1
Juurmann	0	1
DJ	0	1
Julm	0	1
riigikokku	0	1
jarel	0	2
FOTO	2	1
Mees	1	2
Riigikokku	0	2
Kaarel	0	2
Bo	0	1
Herta	0	1
Ing	0	1
Uma	0	1
Chantal	0	1
Dag	0	1
Ferdinand	0	1
alendri	0	1
Alendri	0	2
sept	0	2
Abikaasaga	0	1
aidanud	0	1
kohtumispaiku	0	1
FHoone	0	1
Underground	0	1
Tabac	0	1
Fono	0	1
Põhjatähe	0	1
orden	0	1
commonskat	0	1
saadik	0	1
90074aa2	0	1
41a9	0	1
3a6efa1cee31	0	1
Tutvustus	0	1
Koduleht	0	1
arhitektid	0	1
kliimaministrid	0	1
kogumikalbum	0	1
lugudest	0	1
pärit	0	1
albumitelt	0	1
not	0	1
around	0	1
anymore	0	1
Haldjasaar	0	1
Fairy	0	1
Raskemeelsus	0	1
Hauakiri	0	1
Gloom	0	1
Epitaaf	0	1
Epitaph	0	1
Heli	0	1
Sound	0	1
Hüvasti	0	1
kollane	1	1
koer	0	1
Goodbye	0	2
yellow	0	1
Koer	0	1
dog	0	2
Igavene	0	1
Eternal	0	1
Ja	1	1
kuigi	0	1
And	0	1
whilst	0	2
yet	0	1
Üksikutele	0	1
lonely	0	1
näen	0	1
taas	1	1
again	0	1
unistad	0	1
What	0	1
are	0	1
dreaming	0	1
Eestimaa	0	1
My	0	1
Peninukid	0	1
Hound	0	1
knuckles	0	1
Veereva	0	1
ragin	0	1
Rattle	0	1
rolling	1	1
life	0	1
Tunne	0	1
Feeling	0	1
Vihma	0	1
pimedat	0	2
vihma	0	1
Rain	0	2
dark	0	2
rain	0	1
enesesse	0	2
tõmbun	0	1
withdraw	0	1
into	0	1
myself	0	1
term	0	1
describe	0	1
cycle	0	1
night	0	1
joonistada	0	2
kurbust	0	1
draw	0	1
Smuul	0	1
Kivid	0	1
lambad	0	1
Lammas	0	1
sheep	0	1
Fire	0	1
Usaldus	0	1
Trust	0	1
Mere	0	1
sea	0	1
Imetlen	0	2
admire	0	1
kahest	0	1
albumist	0	1
koosnev	0	1
komplekt	0	1
box	0	1
set	0	1
Kogumikus	0	1
laulusõnad	1	1
pakitud	0	1
spetsiaalsesse	0	1
digipak	0	1
pakendisse	0	1
class	0	1
cx	0	1
segment	0	1
data	0	1
segmentid	0	2
Varjude	0	1
revolutsioon	0	1
Revolution	0	1
shadows	0	1
Sel	1	2
poisil	0	1
That	0	1
boy	0	1
had	0	1
suunatud	0	1
sharp	0	1
point	0	1
has	0	1
been	0	1
aimed	0	1
downwards	0	1
Kuusik	0	1
Sagadi	0	1
Kerstenbeck	0	1
Kõik	1	1
läheb	0	2
mööda	0	1
Everything	0	1
will	0	1
pass	0	1
For	0	1
how	0	1
Tuumavaba	0	2
Nuclear	0	1
free	0	1
Taevased	0	1
ratsamehed	0	1
Heavenly	0	1
horsemen	0	1
Hoia	0	1
Hold	0	1
like	0	1
this	0	1
Paaria	0	1
Pariah	0	1
Heiti	0	1
Laupäev	0	1
naisega	0	1
Saturday	0	1
with	0	1
pikajuukseline	0	1
haired	0	1
Öine	0	1
vahetus	0	1
shift	0	1
kevad	0	1
As	1	2
spring	0	3
ütlesid	0	2
näkku	0	1
lööda	0	1
no	0	1
hitting	0	1
face	0	1
Solaarne	0	1
Solar	0	1
Suvenukrus	0	1
Mereigatsus	0	1
Sea	0	1
yearning	0	2
Unenägu	0	1
dream	0	1
Vihmane	0	1
talvekauge	0	1
Rainy	0	1
winter	0	1
distant	0	1
Neoonist	0	1
silmad	0	1
külmas	0	1
kivilinnas	0	1
Neon	0	1
eyes	0	1
cold	0	1
stone	0	1
city	0	1
Lummus	0	1
Enchanted	0	1
Lootuses	0	1
In	1	1
hope	0	2
Elame	0	1
We	0	1
live	0	1
more	0	1
Mõtisklus	0	1
Contemplation	0	1
Podelski	0	1
Metsluiged	0	1
Vennad	0	1
luiged	0	1
Wild	0	1
Brothers	0	1
Ren	0	1
Leelo	0	1
Tungal	0	1
stuudioalbum	0	1
omanimeline	0	1
Õunalaul	0	1
Doktor	0	1
Noormann	0	1
Mr	0	1
Tule	0	1
minuga	0	1
sööklasse	0	1
Inimene	1	1
Kus	1	1
Lapsena	0	2
televisioonis	0	1
Rahu	0	1
Siin	0	1
oled	0	1
Eerik	0	2
Rummo	0	1
c51a3b39	0	1
eda4	0	1
4c0c	0	1
bc5c	0	1
9f61b1e2b811	0	1
Toimeta	0	1
helikandjate	0	1
artikleid	0	1
rokkooperi	0	1
folkrokk	0	1
psühhedeelne	0	1
Ilmar	0	1
Sikemäe	0	1
uudissõna	0	1
tähendas	0	1
fantaasiat	0	1
Sõna	1	1
tutvustati	0	1
veebruaris	0	1
ajalehes	0	1
ajaleht	0	1
Vasar	0	1
sonal	0	1
Sõnal	0	1
varane	0	1
loomine	0	1
kümnenda	0	1
õpilane	0	1
Mustamäe	0	1
Mängude	0	1
Majas	0	1
tantsuansamblis	0	2
Intervall	0	1
rokklugude	0	1
mängimiseks	0	1
algne	0	1
pillide	0	1
üsna	0	1
tavatu	0	1
naislauljat	0	1
Liina	0	1
Randmaa	0	1
Eva	0	1
Ojaveer	0	1
meessolisti	0	1
Suure	1	1
ansamblikoosseisu	0	1
eesmärgiks	0	1
idee	0	1
moodustada	0	2
põhiansamblist	0	1
vajadusel	0	1
väiksemaid	0	1
koosseise	0	1
arran	0	1
eeringutele	0	1
stiilile	0	1
kammer	0	1
Idee	0	1
siiski	0	2
elujõuline	0	1
lahkusid	0	1
naislauljad	0	1
viiuldaja	0	1
trompetist	0	1
tromboonimängija	0	1
Tänapäev	0	1
loomise	0	1
printsiibid	0	1
omaloodud	0	1
originaalmuusika	0	1
kirjanduslikult	0	1
tugev	0	1
kodumaine	0	1
laulutekst	0	1
tugevad	0	1
professionaalsed	0	1
tegemine	0	1
kunstilisel	0	1
tasemel	0	1
RUJA	0	1
lindistused	0	3
Esimest	0	1
Aruküla	0	1
kultuurimajas	0	1
stuudios	0	1
mõlemad	0	1
Ernst	0	1
Enno	0	1
sõnadele	0	1
ainuke	0	1
Rujaga	0	1
lindistanud	0	1
Detsember	1	1
Ilma	0	1
Viidingu	0	1
luuleta	0	1
olnuks	0	1
eestikeelset	0	1
Kolmanda	0	1
loona	0	1
lindistatigi	0	1
esimesi	0	1
Psühhedeelia	0	1
psühhedeelse	0	1
suunaga	0	1
kompositsioone	0	1
Õhtunägemust	0	1
peavad	0	1
muusikaasjatundjad	0	1
esimeseks	0	1
looks	0	1
Enne	1	1
Rujat	0	1
Just	1	1
eestikeelse	0	1
laulmise	0	1
maneeri	0	1
väljatöötamise	0	1
loeks	0	1
ühiseks	0	1
teeneks	0	1
liitusid	0	1
Uuenenud	0	1
koosseisuga	0	1
lindistati	0	1
raadiostuudios	0	1
Rukkilõikus	0	1
looga	0	1
Rujal	0	1
ühes	0	1
Rannapil	0	1
pahandusi	0	1
ekraanil	0	1
näidata	0	1
selles	0	1
loos	0	1
olegi	0	1
üritas	0	1
tarifitseerida	0	1
tantsuansamblina	0	1
rahaliste	0	1
sissetulekute	0	1
suurendamiseks	0	1
vastav	0	1
komisjon	0	1
luba	0	1
andnud	0	1
Kontserdid	1	1
esinemiskeelud	0	2
Järgnenud	0	1
Tütarlaps	0	1
kloaagis	0	1
Noore	0	1
fotograafi	0	1
uppumine	0	1
Viidingult	0	1
kujundasid	0	1
ametivõimude	0	1
silmis	0	1
skandaalse	0	1
imid	0	1
Esimene	0	1
suurem	0	2
Kadriorg	0	1
Kadriorus	0	1
asuva	0	1
kõlakoja	0	1
vabaõhukontserdil	0	1
rahvamuusikute	0	1
esinemise	0	1
lavale	0	1
tulnud	0	1
pöördesse	0	1
kontserdikorraldajad	0	1
lülitasid	0	1
igaks	0	1
juhuks	0	1
elektritoite	0	1
lühiaegne	0	1
asendas	0	1
tolleaegsed	0	1
esinemiskohad	0	1
põhiliselt	0	1
Salme	0	1
kultuurikeskus	0	1
Tombi	0	1
kultuuripalee	0	1
Kreuksi	0	2
Noorsoo	0	1
Kultuuripalee	0	1
nimetati	0	2
Mustpeade	0	1
Maja	0	1
Rohkem	1	1
prestii	0	1
ne	0	1
esinemiskoht	0	1
Tehnikaülikool	0	1
TPI	0	1
viibis	0	1
kontserdil	0	1
arvatavalt	0	2
rekord	0	1
alguses	0	1
ansamblile	0	1
ettepanek	0	2
kontserdisaal	0	1
elitaarne	0	1
kontserdikoht	0	1
kontserti	0	1
müüdi	0	1
Kontsert	1	1
kammerkooriga	0	1
isamaalistelt	0	1
meeleoludelt	0	1
vaimustav	0	1
Kontserdil	0	1
otseselt	0	2
nõukogudevastast	0	1
kuskil	0	1
kõrvalises	0	1
klubilisemas	0	1
keskkonnas	0	1
esinedes	0	1
poleks	0	1
ilmselt	0	1
suurt	0	1
skandaali	0	1
Sovetlikud	0	1
kultuuriametnikud	0	1
leidsid	0	1
mitmeid	0	1
kontserdile	0	1
sobimatuid	0	1
asjaolusid	0	1
kahemõtteline	0	1
kavaleht	0	1
koori	0	1
meeslauljatel	0	1
seljas	0	1
frakid	0	1
ansamblil	0	1
hilbud	0	1
veinipudelid	0	1
saalis	0	1
klaveri	0	1
peal	0	1
viinapudel	0	1
millest	1	1
joodi	0	2
jms	0	1
keelasid	0	1
andes	0	1
tähtajatu	0	1
kontserdist	0	1
tekkinud	0	1
suhtumine	0	1
andis	0	1
tunda	0	1
Rannapile	0	1
koorile	0	1
Ansamblile	0	1
vaikiv	0	2
ajastu	1	1
õnnelikele	0	1
asjaoludele	0	1
osaleda	0	1
lavastuses	0	1
lavateosele	0	1
sobiv	0	1
Lavastuse	0	1
teema	0	1
ideoloogiliselt	0	1
õige	0	1
sest	0	1
käsitles	0	1
protsess	0	1
kohtuprotsessi	0	2
Kokku	1	1
saja	0	1
etenduse	0	1
teatri	0	1
palgal	0	1
klassikalise	0	1
pianistina	0	1
valmistus	0	1
rahvusvaheliseks	0	1
pianistide	0	1
konkursiks	0	1
eelvoorudega	0	1
Moskva	0	1
etendustest	0	1
osavõtt	0	1
koormavaks	0	1
Asendajaks	0	1
leidis	0	1
klaveriüliõpilaste	0	1
varajase	0	1
perioodi	0	1
kuulusid	0	1
klahvpill	0	1
Veenre	0	1
Kalaus	0	1
Avasalu	0	1
Tark	0	1
trumm	0	1
Varts	0	1
Kuulberg	0	1
bass	0	1
hilis	0	1
Kogumikud	0	1
5CD	0	1
2CD	0	1
3CD	0	1
Videod	0	1
Rujavisioon	0	1
VHS	0	1
Suudlus	0	1
jäätunud	0	1
klaasi	0	1
Vaiki	0	1
võid	0	1
muld	0	1
süda	0	1
Sauter	0	1
HyperElwood	0	1
must	0	1
ronk	0	2
valge	1	1
vares	0	1
kodulehel	0	1
Viie	0	1
kogumikul	0	1
biograafiad	0	1
bac75c73	0	1
9d3b	0	1
800c	0	1
0e1050eb8ff0	0	1
Valner	0	1
Valme	0	1
Tragikomöödia	0	1
võtmes	0	1
rookijad	0	1
maratsejad	0	1
ebasundsad	0	1
halb	0	1
Röökijad	0	2
Märatsejad	0	1
Ebasündsad	0	1
Halb	0	1
cgi	0	2
bin	0	1
linnalehttrt20200821	0	1
7ctxTI	0	1
7ctxAU	0	2
7ctxTA	0	2
nõukogudevastasus	0	2
väljendus	0	1
tekstides	0	1
helikeeles	0	1
pikkades	0	1
juustes	0	1
Linnaleht	0	1
Shades	0	1
asutasid	0	1
umbes	0	1
klassis	0	1
Bändile	0	1
pandi	0	1
Cliff	0	1
Richard	0	1
Shadows	0	1
muusikutest	0	2
klaverit	0	1
koolipidudele	0	1
esinesid	0	1
Sossi	0	1
klubi	0	1
biograafia	0	1
Lehte	0	2
Hainsalu	0	1
keelne	0	1
9c1ff96c	0	1
3dd7	0	1
42a6	0	1
b285	0	1
00e9389531b8	0	1
väljaandel	0	1
katalooginumbriga	0	1
C60	0	1
Albumil	0	1
silmatorkav	0	1
ümbris	0	1
kollektsionääride	0	1
hinnatud	0	1
hilisematel	0	1
kogumikel	0	1
albumile	0	1
Kiis	0	1
Klassikaraadio	0	1
saatesarjast	0	1
Ideaalmaailmad	0	1
Lugusid	0	1
kommenteeris	0	1
Saadet	0	1
korrati	0	1
Esitajad	0	1
kitarrid	0	1
taustavokaal	0	1
Veerev	0	1
kivi	0	1
Kor	0	2
ets	0	1
kestus	0	1
Murtud	1	1
lilled	0	1
Lootuse	0	1
Kahe	1	1
pale	0	1
Meeste	0	1
Pime	0	1
sõda	0	1
Oled	0	1
järv	0	2
Ahtumine	0	1
Alliksaar	0	1
6db9e7da	0	1
ce34	0	1
41dd	0	1
a768	0	1
536f7308658b	0	1
lps	0	1
ruja3	0	1
htm	0	1
Albumiümbris	0	1